grade,subject,year,session,url,path
EGCSE,First Language SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2023 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\First Language SiSwati\2023\November\EGCSE First Language SiSwati 2023 Question Paper 3.pdf
IGCSE,Geography,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Geography\2022\November\0460_w22_qp_11.pdf
IGCSE,Geography,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Geography\2022\November\0460_w22_in_11.pdf
EGCSE,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question  .pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\English Language\2024\November\EGCSE English language 2024 Question  .pdf
EGCSE,Mathematics,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 4.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Mathematics\2024\November\EGCSE Mathematics 2024 Question Paper 4.pdf
IGCSE,Geography,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_12.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Geography\2022\November\0460_w22_qp_12.pdf
IGCSE,Geography,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_12.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Geography\2022\November\0460_w22_in_12.pdf
EGCSE,Geography,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2022 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Geography\2022\November\EGCSE Geography 2022 Question Paper 2.pdf
EGCSE,First Language SiSwati,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2023 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\First Language SiSwati\2023\November\EGCSE First Language SiSwati 2023 Question Paper 2.pdf
EGCSE,Siswati as a Second Language,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Siswati as a Second Language\2022\November\EGCSE Siswati as a Second Language 2022 Question Paper 3.pdf
EGCSE,First Language SiSwati,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\First Language SiSwati\2024\November\EGCSE First Language SiSwati 2024 Question Paper 3.pdf
IGCSE,Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\Mathematics\2023\November\0607_w23_qp_11.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_21.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\EGCSE\English Language\2023\November\0500_w23_qp_21.pdf
