grade,subject,year,session,url,path
JC,Business Studies,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2023 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2023\November\JC Business studies 2023 Question Paper 2.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_qp_11.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_11.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\English Language\2023\November\0500_w23_in_11.pdf
JC,Business Studies,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2024 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2024\November\JC Business studies 2024 Question Paper 1.pdf
JC,Business Studies,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2022 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Business Studies\2022\November\JC Business studies 2022 Question Paper 1.pdf
JC,Religious Education,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2023 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2023\November\JC Religious Education 2023 Question Paper 2.pdf
JC,Mathematics,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Mathematics 2021 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Mathematics\2021\November\JC Mathematics 2021 Question Paper 2.pdf
JC,Religious Education,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2022 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2022\November\JC Religious Education 2022 Question Paper 1.pdf
JC,SiSwati,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2021 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2021\November\JC Siswati 2021 Question Paper 3.pdf
JC,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2024 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\English Language\2024\November\JC English Language 2024 Question Paper 2.pdf
JC,Religious Education,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Religious Education 2024 Question Paper 2.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Religious Education\2024\November\JC Religious Education 2024 Question Paper 2.pdf
JC,SiSwati,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Siswati 2022 Question Paper 3.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\SiSwati\2022\November\JC Siswati 2022 Question Paper 3.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_13.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\IGCSE\Business Studies\2023\June\0450_s23_qp_13.pdf
JC,Additional Mathematics,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Additional Mathematics 2020 Question Paper 1.pdf,E:\Studying and Learning\Thinke.com\Exam_Prep\Resources\JC\Additional Mathematics\2020\November\JC Additional Mathematics 2020 Question Paper 1.pdf
