student_id,date,grade,subject,paper,year,session,url
42e5c15e-33f4-4c8e-a496-9b35967d3853,03-06-25,EGCSE,Business Studies,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Business studies 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,04-06-25,EGCSE,Design and Technology,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,05-06-25,EGCSE,English Language,Paper No: Undefined,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question  .pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,08-06-25,EGCSE,First Language SiSwati,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,09-06-25,EGCSE,Geography,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,10-06-25,EGCSE,Literature in English,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,11-06-25,EGCSE,Mathematics,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,12-06-25,EGCSE,Physical Science,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,15-06-25,EGCSE,Religious Education,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,16-06-25,EGCSE,Siswati as a Second Language,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,17-06-25,IGCSE,Business Studies,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,18-06-25,EGCSE,Design and Technology,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,19-06-25,IGCSE,English Language,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,19-06-25,IGCSE,English Language,Paper 1 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,22-06-25,EGCSE,First Language SiSwati,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,23-06-25,IGCSE,Geography,Paper 1,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,23-06-25,IGCSE,Geography,Paper 1 - Insert,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,24-06-25,IGCSE,Literature in English,Paper 1,2022,June,https://pastpapers.co/cie/IGCSE/English-Literature-0475/2022-May-June/0475_s22_qp_13.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,25-06-25,IGCSE,Mathematics,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_11.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,26-06-25,EGCSE,Physical Science,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,29-06-25,EGCSE,Religious Education,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,30-06-25,EGCSE,Siswati as a Second Language,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,01-07-25,EGCSE,Business Studies,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Business studies 2024 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,02-07-25,EGCSE,Design and Technology,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,03-07-25,EGCSE,English Language,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 1.pdf
