grade,subject,year,session,url
EGCSE,Biology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2022 Question Paper 1.pdf
EGCSE,Biology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2022 Question Paper 2.pdf
EGCSE,Biology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2022 Question Paper 3.pdf
EGCSE,Biology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2022 Question Paper 4.pdf
EGCSE,Biology,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2020 Question Paper 1.pdf
EGCSE,Biology,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2020 Question Paper 2.pdf
EGCSE,Biology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2023 Question Paper 1.pdf
EGCSE,Biology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2023 Question Paper 2.pdf
EGCSE,Biology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2023 Question Paper 3.pdf
EGCSE,Biology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2023 Question Paper 4.pdf
EGCSE,Biology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question Paper 1.pdf
EGCSE,Biology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question Paper 2.pdf
EGCSE,Biology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question Paper 3.pdf
EGCSE,Biology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question Paper 4.pdf
EGCSE,Biology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question  .pdf
