grade,subject,year,session,url
EGCSE,Design and Technology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 1.pdf
EGCSE,Design and Technology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 2.pdf
EGCSE,Design and Technology,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 3.pdf
EGCSE,Design and Technology,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2020 Question Paper 1.pdf
EGCSE,Design and Technology,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2020 Question Paper 2.pdf
EGCSE,Design and Technology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 1.pdf
EGCSE,Design and Technology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 2.pdf
EGCSE,Design and Technology,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2023 Question Paper 3.pdf
EGCSE,Design and Technology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 1.pdf
EGCSE,Design and Technology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 2.pdf
EGCSE,Design and Technology,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2024 Question Paper 3.pdf
