grade,subject,year,url
EGCSE,English Language,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2020 Question Paper 1.pdf
EGCSE,English Language,2020,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2020 Question Paper 2.pdf
EGCSE,English Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2022 Question Paper 1.pdf
EGCSE,English Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2022 Question Paper 2.pdf
EGCSE,English Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2022 Question Paper 3.pdf
EGCSE,English Language,2022,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2022 Question Paper 4.pdf
EGCSE,English Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2023 Question Paper 1.pdf
EGCSE,English Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2023 Question Paper 2.pdf
EGCSE,English Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2023 Question Paper 3.pdf
EGCSE,English Language,2023,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2023 Question Paper 4.pdf
EGCSE,English Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 2.pdf
EGCSE,English Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 3.pdf
EGCSE,English Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 4.pdf
EGCSE,English Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question  .pdf
EGCSE,English Language,2024,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 1.pdf
