grade,subject,year,session,url
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_11.pdf
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_12.pdf
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_13.pdf
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_21.pdf
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_22.pdf
IGCSE,Accounting,2023,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-Oct-Nov/0452_w23_qp_23.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_11.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_12.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_13.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_21.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_22.pdf
IGCSE,Accounting,2023,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-May-June/0452_s23_qp_23.pdf
IGCSE,Accounting,2023,March,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-March/0452_m23_qp_12.pdf
IGCSE,Accounting,2023,March,https://pastpapers.co/cie/IGCSE/Accounting-0452/2023-March/0452_m23_qp_22.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_11.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_12.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_13.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_21.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_22.pdf
IGCSE,Accounting,2022,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Oct-Nov/0452_w22_qp_23.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_11.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_12.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_13.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_21.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_22.pdf
IGCSE,Accounting,2022,June,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-May-June/0452_s22_qp_23.pdf
IGCSE,Accounting,2022,March,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Feb-March/0452_m22_qp_12.pdf
IGCSE,Accounting,2022,March,https://pastpapers.co/cie/IGCSE/Accounting-0452/2022-Feb-March/0452_m22_qp_22.pdf
IGCSE,Accounting,2021,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2021-Oct-Nov/0452_w21_qp_11.pdf
IGCSE,Accounting,2021,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2021-Oct-Nov/0452_w21_qp_12.pdf
IGCSE,Accounting,2021,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2021-Oct-Nov/0452_w21_qp_13.pdf
IGCSE,Accounting,2021,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2021-Oct-Nov/0452_w21_qp_21.pdf
IGCSE,Accounting,2021,November,https://pastpapers.co/cie/IGCSE/Accounting-0452/2021-Oct-Nov/0452_w21_qp_22.pdf
