grade,subject,year,session,url
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_11.pdf
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_12.pdf
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_13.pdf
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_21.pdf
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_22.pdf
IGCSE,Additional Mathematics,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-Oct-Nov/0606_w23_qp_23.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_11.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_12.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_13.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_21.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_22.pdf
IGCSE,Additional Mathematics,2023,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-May-June/0606_s23_qp_23.pdf
IGCSE,Additional Mathematics,2023,March,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-March/0606_m23_qp_12.pdf
IGCSE,Additional Mathematics,2023,March,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2023-March/0606_m23_qp_22.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_11.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_12.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_13.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_21.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_22.pdf
IGCSE,Additional Mathematics,2022,June,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-May-June/0606_s22_qp_23.pdf
IGCSE,Additional Mathematics,2022,March,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-Feb-March/0606_m22_qp_12.pdf
IGCSE,Additional Mathematics,2022,March,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2022-Feb-March/0606_m22_qp_22.pdf
IGCSE,Additional Mathematics,2021,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2021-Oct-Nov/0606_w21_qp_11.pdf
IGCSE,Additional Mathematics,2021,November,https://pastpapers.co/cie/IGCSE/Mathematics-Additional-0606/2021-Oct-Nov/0606_w21_qp_12.pdf
