grade,subject,year,session,url
IGCSE,Biology,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_12.pdf
IGCSE,Biology,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_22.pdf
IGCSE,Biology,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_32.pdf
IGCSE,Biology,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_42.pdf
IGCSE,Biology,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_62.pdf
IGCSE,Biology,2022,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-Oct-Nov/0970_w22_qp_12.pdf
IGCSE,Biology,2022,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-Oct-Nov/0970_w22_qp_22.pdf
IGCSE,Biology,2022,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-Oct-Nov/0970_w22_qp_32.pdf
IGCSE,Biology,2022,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-Oct-Nov/0970_w22_qp_42.pdf
IGCSE,Biology,2022,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-Oct-Nov/0970_w22_qp_62.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_11.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_12.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_21.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_22.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_31.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_32.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_41.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_42.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_51.pdf
IGCSE,Biology,2022,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2022-May-June/0970_s22_qp_62.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_12.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_22.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_32.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_42.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_52.pdf
IGCSE,Biology,2021,November,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-Oct-Nov/0970_w21_qp_62.pdf
IGCSE,Biology,2021,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-May-June/0970_s21_qp_11.pdf
IGCSE,Biology,2021,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-May-June/0970_s21_qp_21.pdf
IGCSE,Biology,2021,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2021-May-June/0970_s21_qp_22.pdf
