grade,subject,year,session,url
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_11.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_12.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_13.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_21.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_in_21.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_22.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_in_22.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_23.pdf
IGCSE,Business Studies,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_in_23.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_11.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_13.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_12.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_21.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_in_21.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_22.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_in_22.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_qp_23.pdf
IGCSE,Business Studies,2023,June,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-May-June/0450_s23_in_23.pdf
IGCSE,Business Studies,2023,March,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-March/0450_m23_qp_12.pdf
