grade,subject,year,session,url
IGCSE,Chemistry,2023,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-Oct-Nov/0971_w23_qp_12.pdf
IGCSE,Chemistry,2023,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-Oct-Nov/0971_w23_qp_22.pdf
IGCSE,Chemistry,2023,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-Oct-Nov/0971_w23_qp_32.pdf
IGCSE,Chemistry,2023,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-Oct-Nov/0971_w23_qp_42.pdf
IGCSE,Chemistry,2023,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-Oct-Nov/0971_w23_qp_62.pdf
IGCSE,Chemistry,2023,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-May-June/0971_s23_qp_12.pdf
IGCSE,Chemistry,2023,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-May-June/0971_s23_qp_22.pdf
IGCSE,Chemistry,2023,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-May-June/0971_s23_qp_32.pdf
IGCSE,Chemistry,2023,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-May-June/0971_s23_qp_42.pdf
IGCSE,Chemistry,2023,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2023-May-June/0971_s23_qp_62.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_12.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_22.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_32.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_42.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_52.pdf
IGCSE,Chemistry,2022,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-Oct-Nov/0971_w22_qp_62.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_11.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_12.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_21.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_22.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_31.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_32.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_41.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_42.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_51.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_61.pdf
IGCSE,Chemistry,2022,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2022-May-June/0971_s22_qp_62.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_12.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_22.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_32.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_42.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_52.pdf
IGCSE,Chemistry,2021,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2021-Oct-Nov/0971_w21_qp_62.pdf
IGCSE,Chemistry,2020,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-Oct-Nov/0971_w20_qp_12.pdf
IGCSE,Chemistry,2020,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-Oct-Nov/0971_w20_qp_22.pdf
IGCSE,Chemistry,2020,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-Oct-Nov/0971_w20_qp_32.pdf
IGCSE,Chemistry,2020,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-Oct-Nov/0971_w20_qp_42.pdf
IGCSE,Chemistry,2020,November,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-Oct-Nov/0971_w20_qp_62.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_11.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_12.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_21.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_22.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_31.pdf
IGCSE,Chemistry,2020,June,https://pastpapers.co/cie/IGCSE/Chemistry-0971-UK/2020-May-June/0971_s20_qp_32.pdf
