grade,subject,year,session,url
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_11.pdf
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_12.pdf
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_13.pdf
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_21.pdf
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_22.pdf
IGCSE,Computer Science,2023,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-Oct-Nov/0478_w23_qp_23.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_11.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_12.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_13.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_21.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_22.pdf
IGCSE,Computer Science,2023,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-May-June/0478_s23_qp_23.pdf
IGCSE,Computer Science,2023,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-March/0478_m23_qp_12.pdf
IGCSE,Computer Science,2023,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2023-March/0478_m23_qp_22.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_11.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_12.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_13.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_21.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_22.pdf
IGCSE,Computer Science,2022,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Oct-Nov/0478_w22_qp_23.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_11.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_12.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_13.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_21.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_22.pdf
IGCSE,Computer Science,2022,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-May-June/0478_s22_qp_23.pdf
IGCSE,Computer Science,2022,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Feb-March/0478_m22_qp_12.pdf
IGCSE,Computer Science,2022,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2022-Feb-March/0478_m22_qp_22.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_13.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_12.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_11.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_21.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_22.pdf
IGCSE,Computer Science,2021,November,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-Oct-Nov/0478_w21_qp_23.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_13.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_12.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_11.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_21.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_22.pdf
IGCSE,Computer Science,2021,June,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-May-June/0478_s21_qp_23.pdf
IGCSE,Computer Science,2021,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-March/0478_m21_qp_12.pdf
IGCSE,Computer Science,2021,March,https://pastpapers.co/cie/IGCSE/Computer-Science-0478/2021-March/0478_m21_qp_22.pdf
