grade,subject,year,session,url
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_11.pdf
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_12.pdf
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_13.pdf
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_21.pdf
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_22.pdf
IGCSE,Economics,2023,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-Oct-Nov/0455_w23_qp_23.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_11.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_12.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_13.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_21.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_22.pdf
IGCSE,Economics,2023,June,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-May-June/0455_s23_qp_23.pdf
IGCSE,Economics,2023,March,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-March/0455_m23_qp_12.pdf
IGCSE,Economics,2023,March,https://pastpapers.co/cie/IGCSE/Economics-0455/2023-March/0455_m23_qp_22.pdf
IGCSE,Economics,2022,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2022-Oct-Nov/0455_w22_qp_11.pdf
IGCSE,Economics,2022,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2022-Oct-Nov/0455_w22_qp_12.pdf
IGCSE,Economics,2022,November,https://pastpapers.co/cie/IGCSE/Economics-0455/2022-Oct-Nov/0455_w22_qp_13.pdf
