grade,subject,year,session,url
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_11.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_11.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_12.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_12.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_13.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_13.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_21.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_21.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_22.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_22.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_23.pdf
IGCSE,English Language,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_23.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_qp_12.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_in_12.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_qp_13.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_in_13.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_qp_22.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_in_22.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_qp_23.pdf
IGCSE,English Language,2023,June,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-May-June/0500_s23_in_23.pdf
IGCSE,English Language,2022,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2022-Oct-Nov/0500_w22_qp_11.pdf
IGCSE,English Language,2022,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2022-Oct-Nov/0500_w22_in_11.pdf
