grade,subject,year,session,url
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_11.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_12.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_13.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_21.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_22.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_23.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_41.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_42.pdf
IGCSE,History,2022,June,https://pastpapers.co/cie/IGCSE/History-0470/2022-May-June/0470_s22_qp_43.pdf
IGCSE,History,2022,March,https://pastpapers.co/cie/IGCSE/History-0470/2022-Feb-March/0470_m22_qp_12.pdf
IGCSE,History,2022,March,https://pastpapers.co/cie/IGCSE/History-0470/2022-Feb-March/0470_m22_qp_22.pdf
IGCSE,History,2022,March,https://pastpapers.co/cie/IGCSE/History-0470/2022-Feb-March/0470_m22_qp_42.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_11.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_12.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_13.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_21.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_22.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_23.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_41.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_42.pdf
IGCSE,History,2021,November,https://pastpapers.co/cie/IGCSE/History-0470/2021-Oct-Nov/0470_w21_qp_43.pdf
IGCSE,History,2021,June,https://pastpapers.co/cie/IGCSE/History-0470/2021-May-June/0470_s21_qp_11.pdf
IGCSE,History,2021,June,https://pastpapers.co/cie/IGCSE/History-0470/2021-May-June/0470_s21_qp_12.pdf
IGCSE,History,2021,June,https://pastpapers.co/cie/IGCSE/History-0470/2021-May-June/0470_s21_qp_13.pdf
IGCSE,History,2021,June,https://pastpapers.co/cie/IGCSE/History-0470/2021-May-June/0470_s21_qp_21.pdf
IGCSE,History,2021,June,https://pastpapers.co/cie/IGCSE/History-0470/2021-May-June/0470_s21_qp_22.pdf
