grade,subject,year,session,url
IGCSE,ICT,2022,March,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2022-Feb-March/0417_m22_qp_31.pdf
IGCSE,ICT,2020,November,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2020-Oct-Nov/0417_w20_qp_11.pdf
IGCSE,ICT,2020,November,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2020-Oct-Nov/0417_w20_qp_12.pdf
IGCSE,ICT,2020,November,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2020-Oct-Nov/0417_w20_qp_13.pdf
IGCSE,ICT,2020,November,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2020-Oct-Nov/0417_w20_qp_02.pdf
IGCSE,ICT,2020,November,https://pastpapers.co/cie/IGCSE/Information-and-Communication-Technology-0417/2020-Oct-Nov/0417_w20_qp_03.pdf
IGCSE,ICT,2020,June,https://cdn.savemyexams.com/uploads/2025/02/14312_0417_s20_qp_21.pdf
IGCSE,ICT,2020,June,https://cdn.savemyexams.com/uploads/2025/02/36400_0417_s20_qp_22.pdf
IGCSE,ICT,2020,June,https://cdn.savemyexams.com/uploads/2025/02/39201_0417_s20_qp_31.pdf
IGCSE,ICT,2020,June,https://cdn.savemyexams.com/uploads/2025/02/42720_0417_s20_qp_32.pdf
IGCSE,ICT,2019,March,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_m19_qp_12.pdf
IGCSE,ICT,2019,March,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_m19_qp_31.pdf
IGCSE,ICT,2018,November,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_w18_qp_11.pdf
IGCSE,ICT,2018,November,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_w18_qp_12.pdf
IGCSE,ICT,2018,November,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_w18_qp_13.pdf
IGCSE,ICT,2018,November,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_w18_qp_02.pdf
IGCSE,ICT,2018,November,https://www.pastpapersinside.com/wp-content/uploads/2019/09/0417_w18_qp_03.pdf
