grade,subject,year,session,url
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_11.pdf
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_21.pdf
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_31.pdf
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_41.pdf
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_51.pdf
IGCSE,Physics,2023,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-Oct-Nov/0972_w23_qp_61.pdf
IGCSE,Physics,2023,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-May-June/0972_s23_qp_12.pdf
IGCSE,Physics,2023,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-May-June/0972_s23_qp_22.pdf
IGCSE,Physics,2023,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-May-June/0972_s23_qp_32.pdf
IGCSE,Physics,2023,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-May-June/0972_s23_qp_42.pdf
IGCSE,Physics,2023,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2023-May-June/0972_s23_qp_62.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_11.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_21.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_31.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_41.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_51.pdf
IGCSE,Physics,2022,November,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-Oct-Nov/0972_w22_qp_61.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_11.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_12.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_21.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_22.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_31.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_32.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_41.pdf
IGCSE,Physics,2022,June,https://pastpapers.co/cie/IGCSE/Physics-0972-UK/2022-May-June/0972_s22_qp_42.pdf
