grade,subject,year,session,url
IGCSE,Religious Education,2022,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2022-Oct-Nov/0490_w22_qp_12.pdf
IGCSE,Religious Education,2022,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2022-Oct-Nov/0490_w22_qp_22.pdf
IGCSE,Religious Education,2021,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2021-Oct-Nov/0490_w21_qp_12.pdf
IGCSE,Religious Education,2021,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2021-Oct-Nov/0490_w21_qp_13.pdf
IGCSE,Religious Education,2021,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2021-Oct-Nov/0490_w21_qp_22.pdf
IGCSE,Religious Education,2021,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2021-Oct-Nov/0490_w21_qp_23.pdf
IGCSE,Religious Education,2020,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2020-Oct-Nov/0490_w20_qp_12.pdf
IGCSE,Religious Education,2020,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2020-Oct-Nov/0490_w20_qp_13.pdf
IGCSE,Religious Education,2020,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2020-Oct-Nov/0490_w20_qp_22.pdf
IGCSE,Religious Education,2020,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2020-Oct-Nov/0490_w20_qp_23.pdf
IGCSE,Religious Education,2019,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2019-Oct-Nov/0490_w19_qp_11.pdf
IGCSE,Religious Education,2019,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2019-Oct-Nov/0490_w19_qp_12.pdf
IGCSE,Religious Education,2019,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2019-Oct-Nov/0490_w19_qp_13.pdf
IGCSE,Religious Education,2019,November,https://pastpapers.co/cie/IGCSE/Religious-Studies-0490/2019-Oct-Nov/0490_w19_qp_21.pdf
