grade,subject,year,session,url
JC,Business Studies,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2020 Question Paper 1.pdf
JC,Business Studies,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2020 Question Paper 2.pdf
JC,Business Studies,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2021 Question Paper 1.pdf
JC,Business Studies,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2021 Question Paper 2.pdf
JC,Business Studies,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2022 Question Paper 1.pdf
JC,Business Studies,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2022 Question Paper 2.pdf
JC,Business Studies,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2023 Question Paper 1.pdf
JC,Business Studies,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2023 Question Paper 2.pdf
JC,Business Studies,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2024 Question Paper 1.pdf
JC,Business Studies,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC Business studies 2024 Question Paper 2.pdf
