grade,subject,year,session,url
JC,English Language,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2020 Question Paper 1.pdf
JC,English Language,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2020 Question Paper 2.pdf
JC,English Language,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2020 Question Paper 3.pdf
JC,English Language,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2020 Question Paper 4.pdf
JC,English Language,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2021 Question Paper 1.pdf
JC,English Language,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2021 Question Paper 2.pdf
JC,English Language,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2021 Question Paper 3.pdf
JC,English Language,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2022 Question Paper 1.pdf
JC,English Language,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2022 Question Paper 2.pdf
JC,English Language,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2022 Question Paper 3.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 1.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 2.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 3.pdf
JC,English Language,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2023 Question Paper 4.pdf
JC,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2024 Question Paper 1.pdf
JC,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2024 Question Paper 2.pdf
JC,English Language,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC English Language 2024 Question Paper 3.pdf
