grade,subject,year,session,url
JC,French,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2020 Question Paper 1.pdf
JC,French,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2020 Question Paper 2.pdf
JC,French,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2020 Question Paper 3.pdf
JC,French,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2021 Question Paper 1.pdf
JC,French,2021,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2021 Question Paper 2.pdf
JC,French,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2022 Question Paper 2.pdf
JC,French,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2023 Question Paper 1.pdf
JC,French,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2023 Question Paper 2.pdf
JC,French,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2023 Question  .pdf
JC,French,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2024 Question Paper 1.pdf
JC,French,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/JC French 2024 Question Paper 2.pdf
