grade,subject,year,session,url
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_11.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_12.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_21.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_22.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_31.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_32.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_41.pdf
O-Level,Chemistry,2022,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2022-May-June/5070_s22_qp_42.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_11.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_12.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_21.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_22.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_31.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_41.pdf
O-Level,Chemistry,2021,October,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-Oct-Nov/5070_w21_qp_42.pdf
O-Level,Chemistry,2021,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-May-June/5070_s21_qp_11.pdf
O-Level,Chemistry,2021,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-May-June/5070_s21_qp_21.pdf
O-Level,Chemistry,2021,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-May-June/5070_s21_qp_22.pdf
O-Level,Chemistry,2021,June,https://pastpapers.co/cie/O-Level/Chemistry-5070/2021-May-June/5070_s21_qp_31.pdf
