grade,subject,year,session,url
O-Level,Computer Science,2022,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2022-Oct-Nov/2210_w22_qp_23.pdf
O-Level,Computer Science,2022,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2022-Oct-Nov/2210_w22_qp_12.pdf
O-Level,Computer Science,2022,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2022-Oct-Nov/2210_w22_qp_13.pdf
O-Level,Computer Science,2022,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2022-Oct-Nov/2210_w22_qp_22.pdf
O-Level,Computer Science,2021,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-Oct-Nov/2210_w21_qp_12.pdf
O-Level,Computer Science,2021,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-Oct-Nov/2210_w21_qp_22.pdf
O-Level,Computer Science,2021,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-May-June/2210_s21_qp_11.pdf
O-Level,Computer Science,2021,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-May-June/2210_s21_qp_12.pdf
O-Level,Computer Science,2021,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-May-June/2210_s21_qp_21.pdf
O-Level,Computer Science,2021,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2021-May-June/2210_s21_qp_22.pdf
O-Level,Computer Science,2020,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-Oct-Nov/2210_w20_qp_12.pdf
O-Level,Computer Science,2020,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-Oct-Nov/2210_w20_qp_13.pdf
O-Level,Computer Science,2020,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-Oct-Nov/2210_w20_qp_22.pdf
O-Level,Computer Science,2020,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-Oct-Nov/2210_w20_qp_23.pdf
O-Level,Computer Science,2020,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-May-June/2210_s20_qp_12.pdf
O-Level,Computer Science,2020,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-May-June/2210_s20_qp_21.pdf
O-Level,Computer Science,2020,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2020-May-June/2210_s20_qp_22.pdf
O-Level,Computer Science,2019,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-Oct-Nov/2210_w19_qp_12.pdf
O-Level,Computer Science,2019,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-Oct-Nov/2210_w19_qp_13.pdf
O-Level,Computer Science,2019,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-Oct-Nov/2210_w19_qp_22.pdf
O-Level,Computer Science,2019,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-Oct-Nov/2210_w19_qp_23.pdf
O-Level,Computer Science,2019,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-May-June/2210_s19_qp_11.pdf
O-Level,Computer Science,2019,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-May-June/2210_s19_qp_12.pdf
O-Level,Computer Science,2019,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-May-June/2210_s19_qp_21.pdf
O-Level,Computer Science,2019,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2019-May-June/2210_s19_qp_22.pdf
O-Level,Computer Science,2018,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-Oct-Nov/2210_w18_qp_12.pdf
O-Level,Computer Science,2018,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-Oct-Nov/2210_w18_qp_13.pdf
O-Level,Computer Science,2018,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-Oct-Nov/2210_w18_qp_22.pdf
O-Level,Computer Science,2018,November,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-Oct-Nov/2210_w18_qp_23.pdf
O-Level,Computer Science,2018,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-May-June/2210_s18_qp_11.pdf
O-Level,Computer Science,2018,June,https://pastpapers.co/cie/O-Level/Computer-Science-2210/2018-May-June/2210_s18_qp_12.pdf
