grade,subject,year,session,url
O-Level,History,2022,June,https://pastpapers.co/cie/O-Level/History-2147/2022-May-June/2147_s22_qp_12.pdf
O-Level,History,2022,June,https://pastpapers.co/cie/O-Level/History-2147/2022-May-June/2147_s22_qp_13.pdf
O-Level,History,2022,June,https://pastpapers.co/cie/O-Level/History-2147/2022-May-June/2147_s22_qp_22.pdf
O-Level,History,2022,June,https://pastpapers.co/cie/O-Level/History-2147/2022-May-June/2147_s22_qp_23.pdf
O-Level,History,2021,November,https://pastpapers.co/cie/O-Level/History-2147/2021-Oct-Nov/2147_w21_qp_11.pdf
O-Level,History,2021,November,https://pastpapers.co/cie/O-Level/History-2147/2021-Oct-Nov/2147_w21_qp_12.pdf
O-Level,History,2021,November,https://pastpapers.co/cie/O-Level/History-2147/2021-Oct-Nov/2147_w21_qp_21.pdf
O-Level,History,2021,November,https://pastpapers.co/cie/O-Level/History-2147/2021-Oct-Nov/2147_w21_qp_22.pdf
O-Level,History,2021,June,https://pastpapers.co/cie/O-Level/History-2147/2021-May-June/2147_s21_qp_12.pdf
O-Level,History,2021,June,https://pastpapers.co/cie/O-Level/History-2147/2021-May-June/2147_s21_qp_13.pdf
O-Level,History,2021,June,https://pastpapers.co/cie/O-Level/History-2147/2021-May-June/2147_s21_qp_22.pdf
O-Level,History,2021,June,https://pastpapers.co/cie/O-Level/History-2147/2021-May-June/2147_s21_qp_23.pdf
O-Level,History,2020,November,https://pastpapers.co/cie/O-Level/History-2147/2020-Oct-Nov/2147_w20_qp_11.pdf
O-Level,History,2020,November,https://pastpapers.co/cie/O-Level/History-2147/2020-Oct-Nov/2147_w20_qp_12.pdf
O-Level,History,2020,November,https://pastpapers.co/cie/O-Level/History-2147/2020-Oct-Nov/2147_w20_qp_21.pdf
O-Level,History,2020,November,https://pastpapers.co/cie/O-Level/History-2147/2020-Oct-Nov/2147_w20_qp_22.pdf
O-Level,History,2020,June,https://pastpapers.co/cie/O-Level/History-2147/2020-May-June/2147_s20_qp_12.pdf
O-Level,History,2020,June,https://pastpapers.co/cie/O-Level/History-2147/2020-May-June/2147_s20_qp_22.pdf
