grade,subject,year,session,url
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_11.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_12.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_21.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_22.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_31.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_32.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_41.pdf
O-Level,Physics,2022,June,https://pastpapers.co/cie/O-Level/Physics-5054/2022-May-June/5054_s22_qp_42.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_11.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_12.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_21.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_22.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_31.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_32.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_41.pdf
O-Level,Physics,2021,November,https://pastpapers.co/cie/O-Level/Physics-5054/2021-Oct-Nov/5054_w21_qp_42.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_11.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_12.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2020-May-June/5054_s20_qp_21.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_21.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_22.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_32.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_41.pdf
O-Level,Physics,2021,June,https://pastpapers.co/cie/O-Level/Physics-5054/2021-May-June/5054_s21_qp_42.pdf
O-Level,Physics,2020,November,https://pastpapers.co/cie/O-Level/Physics-5054/2020-Oct-Nov/5054_w20_qp_11.pdf
O-Level,Physics,2020,November,https://pastpapers.co/cie/O-Level/Physics-5054/2020-Oct-Nov/5054_w20_qp_12.pdf
O-Level,Physics,2020,November,https://pastpapers.co/cie/O-Level/Physics-5054/2020-Oct-Nov/5054_w20_qp_21.pdf
O-Level,Physics,2020,November,https://pastpapers.co/cie/O-Level/Physics-5054/2020-Oct-Nov/5054_w20_qp_22.pdf
